1600015I10Rik	ER_cst8644_DMSO_peak_735 (+19264)
Ube2r2	ER_cst8644_DMSO_peak_566 (-1615)
Ube2u	ER_cst8644_DMSO_peak_602 (-287196)
Ube3a	ER_cst8644_DMSO_peak_800 (-491818)
Ubl3	ER_cst8644_DMSO_peak_719 (-268108)
Uchl5	ER_cst8644_DMSO_peak_36 (+139429)
Ugcg	ER_cst8644_DMSO_peak_586 (+86458)
Uggt1	ER_cst8644_DMSO_peak_3 (-20058)
Ugt1a6b	ER_cst8644_DMSO_peak_29 (-8438)
Ugt1a8	ER_cst8644_DMSO_peak_29 (+7001)
Umad1	ER_cst8644_DMSO_peak_725 (+39713)
Upb1	ER_cst8644_DMSO_peak_78 (+22808)
Upk1b	ER_cst8644_DMSO_peak_337 (+29596), ER_cst8644_DMSO_peak_336 (+38622)
Urad	ER_cst8644_DMSO_peak_716 (-70461), ER_cst8644_DMSO_peak_715 (-66867), ER_cst8644_DMSO_peak_714 (-66638), ER_cst8644_DMSO_peak_713 (-44074), ER_cst8644_DMSO_peak_712 (-18694)
Ush2a	ER_cst8644_DMSO_peak_53 (-179863)
Usp12	ER_cst8644_DMSO_peak_711 (+91085), ER_cst8644_DMSO_peak_710 (+118301)
Usp13	ER_cst8644_DMSO_peak_517 (+161821), ER_cst8644_DMSO_peak_518 (+169533)
Usp18	ER_cst8644_DMSO_peak_770 (-30755), ER_cst8644_DMSO_peak_771 (-20792)
Usp25	ER_cst8644_DMSO_peak_371 (-464329), ER_cst8644_DMSO_peak_372 (+159569), ER_cst8644_DMSO_peak_373 (+160873)
Usp35	ER_cst8644_DMSO_peak_813 (+120677)
Usp38	ER_cst8644_DMSO_peak_866 (-7526), ER_cst8644_DMSO_peak_865 (+62605)
Usp6nl	ER_cst8644_DMSO_peak_462 (+31997)
Uspl1	ER_cst8644_DMSO_peak_720 (+61407)
Vav3	ER_cst8644_DMSO_peak_550 (+11830), ER_cst8644_DMSO_peak_551 (+12103), ER_cst8644_DMSO_peak_552 (+20176)
Veph1	ER_cst8644_DMSO_peak_536 (-104432)
Vmn2r97	ER_cst8644_DMSO_peak_389 (+54292)
Vmn2r98	ER_cst8644_DMSO_peak_389 (-84879)
Vmp1	ER_cst8644_DMSO_peak_127 (+90664)
Vps13d	ER_cst8644_DMSO_peak_612 (+175492)
Wipi1	ER_cst8644_DMSO_peak_149 (-588), ER_cst8644_DMSO_peak_148 (+11300)
Wsb1	ER_cst8644_DMSO_peak_121 (-24083)
Xcl1	ER_cst8644_DMSO_peak_46 (-24686)
Xcr1	ER_cst8644_DMSO_peak_919 (-66229)
Xylt1	ER_cst8644_DMSO_peak_816 (+136158)
Ywhaq	ER_cst8644_DMSO_peak_160 (+38589)
Zbtb5	ER_cst8644_DMSO_peak_569 (-283)
Zc3h12a	ER_cst8644_DMSO_peak_609 (-49180), ER_cst8644_DMSO_peak_608 (-48613)
Zeb2	ER_cst8644_DMSO_peak_474 (-295576)
Zfand5	ER_cst8644_DMSO_peak_440 (-240125)
Zfat	ER_cst8644_DMSO_peak_308 (+178239)
Zfhx3	ER_cst8644_DMSO_peak_870 (+880451)
Zfp1	ER_cst8644_DMSO_peak_871 (+992)
Zfp13	ER_cst8644_DMSO_peak_390 (+355)
Zfp217	ER_cst8644_DMSO_peak_507 (-214094), ER_cst8644_DMSO_peak_506 (-212195), ER_cst8644_DMSO_peak_505 (-190952)
Zfp326	ER_cst8644_DMSO_peak_689 (-158219)
Zfp365	ER_cst8644_DMSO_peak_77 (+304979)
Zfp36l1	ER_cst8644_DMSO_peak_180 (+515947)
Zfp36l2	ER_cst8644_DMSO_peak_411 (+6243), ER_cst8644_DMSO_peak_410 (+202385), ER_cst8644_DMSO_peak_409 (+210314)
Zfp386	ER_cst8644_DMSO_peak_205 (-882140), ER_cst8644_DMSO_peak_206 (-735673), ER_cst8644_DMSO_peak_207 (-213927), ER_cst8644_DMSO_peak_208 (-135481), ER_cst8644_DMSO_peak_209 (-132190), ER_cst8644_DMSO_peak_210 (-67051)
Zfp422	ER_cst8644_DMSO_peak_764 (-3858)
Zfp608	ER_cst8644_DMSO_peak_420 (-419327), ER_cst8644_DMSO_peak_419 (+81938), ER_cst8644_DMSO_peak_418 (+83338), ER_cst8644_DMSO_peak_417 (+87485), ER_cst8644_DMSO_peak_416 (+139806), ER_cst8644_DMSO_peak_415 (+143543), ER_cst8644_DMSO_peak_414 (+779981)
Zfp622	ER_cst8644_DMSO_peak_283 (+32119)
Zfp637	ER_cst8644_DMSO_peak_767 (-164683)
Zfp654	ER_cst8644_DMSO_peak_363 (-288)
Zfp658	ER_cst8644_DMSO_peak_795 (-17446), ER_cst8644_DMSO_peak_796 (-16143), ER_cst8644_DMSO_peak_797 (-7523), ER_cst8644_DMSO_peak_798 (-7386)
Zfp703	ER_cst8644_DMSO_peak_824 (-625513), ER_cst8644_DMSO_peak_825 (-507492), ER_cst8644_DMSO_peak_826 (-383368), ER_cst8644_DMSO_peak_827 (-383113), ER_cst8644_DMSO_peak_828 (-380452), ER_cst8644_DMSO_peak_829 (-288234), ER_cst8644_DMSO_peak_830 (-287341), ER_cst8644_DMSO_peak_831 (-278559), ER_cst8644_DMSO_peak_832 (-232710), ER_cst8644_DMSO_peak_833 (-229598), ER_cst8644_DMSO_peak_834 (-219574), ER_cst8644_DMSO_peak_835 (-171817), ER_cst8644_DMSO_peak_836 (-168934), ER_cst8644_DMSO_peak_837 (-148811), ER_cst8644_DMSO_peak_838 (-144553), ER_cst8644_DMSO_peak_839 (-143818), ER_cst8644_DMSO_peak_840 (-141644), ER_cst8644_DMSO_peak_841 (-360), ER_cst8644_DMSO_peak_842 (+7465)
Zfp715	ER_cst8644_DMSO_peak_794 (-1805)
Zfp740	ER_cst8644_DMSO_peak_318 (+3718)
Zfp804a	ER_cst8644_DMSO_peak_488 (-64306)
Zfp869	ER_cst8644_DMSO_peak_862 (-6292)
Zfp963	ER_cst8644_DMSO_peak_862 (+32946)
Zfr	ER_cst8644_DMSO_peak_281 (-75574)
Zic1	ER_cst8644_DMSO_peak_908 (+934663)
Zmiz1	ER_cst8644_DMSO_peak_247 (+58057)
Zmynd11	ER_cst8644_DMSO_peak_211 (-488803)
Zpld1	ER_cst8644_DMSO_peak_352 (-456497)
Zrsr1	ER_cst8644_DMSO_peak_112 (-81419)
Zscan10	ER_cst8644_DMSO_peak_390 (-1724)

