Gene Name (Hs),Functional Category,Included in which metabolic enzyme/transporter sets (please add your name if you are adding a new gene)
SLC6A12,Small Molecule Transport,In RP
SLC6A13,Small Molecule Transport,In RP
SLC6A14,Small Molecule Transport,In RP
SLC6A15,Small Molecule Transport,In RP
SLC6A16,Small Molecule Transport,In RP
SLC6A17,Small Molecule Transport,In RP
SLC6A18,Small Molecule Transport,In RP
SLC6A19,Small Molecule Transport,In RP
SLC6A2,Small Molecule Transport,In RP
SLC6A20,Small Molecule Transport,In RP
SLC6A3,Small Molecule Transport,In RP
SLC6A4,Small Molecule Transport,In RP
SLC6A5,Small Molecule Transport,In RP
SLC6A6,Small Molecule Transport,In RP
SLC6A7,Small Molecule Transport,In RP
SLC6A8,Small Molecule Transport,In RP
SLC6A9,Small Molecule Transport,In RP
SLC7A1,Small Molecule Transport,In RP
SLC7A10,Small Molecule Transport,In RP
SLC7A11,Small Molecule Transport,In RP
SLC7A13,Small Molecule Transport,In RP
SLC7A14,Small Molecule Transport,In RP
SLC7A2,Small Molecule Transport,In RP
SLC7A3,Small Molecule Transport,In RP
SLC7A4,Small Molecule Transport,In RP
SLC7A5,Small Molecule Transport,In RP
SLC7A6,Small Molecule Transport,In RP
SLC7A7,Small Molecule Transport,In RP
SLC7A8,Small Molecule Transport,In RP
SLC7A9,Small Molecule Transport,In RP
SLC8A1,Small Molecule Transport,In RP
SLC8A2,Small Molecule Transport,In RP
SLC8A3,Small Molecule Transport,In RP
SLC9A1,Small Molecule Transport,In RP
SLC9A10,Small Molecule Transport,In RP
SLC9A11,Small Molecule Transport,In RP
SLC9A2,Small Molecule Transport,In RP
SLC9A3,Small Molecule Transport,In RP
SLC9A4,Small Molecule Transport,In RP
SLC9A5,Small Molecule Transport,In RP
SLC9A6,Small Molecule Transport,In RP
SLC9A7,Small Molecule Transport,In RP
SLC9A8,Small Molecule Transport,In RP
SLC9A9,Small Molecule Transport,In RP
SLCO1A2,Small Molecule Transport,In RP
SLCO1B1,Small Molecule Transport,In RP
SLCO1B3,Small Molecule Transport,In RP
SLCO1C1,Small Molecule Transport,In RP
SLCO2A1,Small Molecule Transport,In RP
SLCO2B1,Small Molecule Transport,In RP
SLCO3A1,Small Molecule Transport,In RP
SLCO4A1,Small Molecule Transport,In RP
SLCO4C1,Small Molecule Transport,In RP
SLCO5A1,Small Molecule Transport,In RP
SLCO6A1,Small Molecule Transport,In RP
MIP,Small Molecule Transport,In RP
NPC1,Small Molecule Transport,In RP
NPC1L1,Small Molecule Transport,In RP
NPC2,Small Molecule Transport,In RP
PCTP,Small Molecule Transport,In RP
RHAG,Small Molecule Transport,In RP
RHBG,Small Molecule Transport,In RP
RHCG,Small Molecule Transport,In RP
SFXN1,Small Molecule Transport,In RP
SFXN2,Small Molecule Transport,In RP
SFXN3,Small Molecule Transport,In RP
SFXN4,Small Molecule Transport,In RP
SFXN5,Small Molecule Transport,In RP
SPNS1,Small Molecule Transport,In RP
STAR,Small Molecule Transport,In RP
STARD10,Small Molecule Transport,In RP
STARD13,Small Molecule Transport,In RP
STARD3,Small Molecule Transport,In RP
STARD3NL,Small Molecule Transport,In RP
STARD4,Small Molecule Transport,In RP
STARD5,Small Molecule Transport,In RP
STARD6,Small Molecule Transport,In RP
STARD7,Small Molecule Transport,In RP
STARD8,Small Molecule Transport,In RP
STARD9,Small Molecule Transport,In RP
SV2A,Small Molecule Transport,In RP
SV2B,Small Molecule Transport,In RP
SV2C,Small Molecule Transport,In RP
SVOP,Small Molecule Transport,In RP
CERK,Sphingolipid,In RP
CERKL,Sphingolipid,In RP
DEGS1,Sphingolipid,In RP
DEGS2,Sphingolipid,In RP
GALC,Sphingolipid,In RP
LASS1,Sphingolipid,In RP
LASS2,Sphingolipid,In RP
LASS3,Sphingolipid,In RP
LASS4,Sphingolipid,In RP
LASS5,Sphingolipid,In RP
LASS6,Sphingolipid,In RP
SGMS1,Sphingolipid,In RP
SGMS2,Sphingolipid,In RP
SGPL1,Sphingolipid,In RP
SGPP1,Sphingolipid,In RP
SGPP2,Sphingolipid,In RP
SMPD1,Sphingolipid,In RP
SMPD2,Sphingolipid,In RP
SMPD3,Sphingolipid,In RP
SMPD4,Sphingolipid,In RP
SMPDL3A,Sphingolipid,In RP
SMPDL3B,Sphingolipid,In RP
SPHK1,Sphingolipid,In RP
SPHK2,Sphingolipid,In RP
SPTLC1,Sphingolipid,In RP
SPTLC2,Sphingolipid,In RP
SPTLC3,Sphingolipid,In RP
UGCG,Sphingolipid,In RP
UGCGL1,Sphingolipid,In RP
UGCGL2,Sphingolipid,In RP
UGT8,Sphingolipid,In RP
ACER1,Sphingosine,In RP
ACER2,Sphingosine,In RP
ACER3,Sphingosine,In RP
ASAH1,Sphingosine,In RP
ASAH2,Sphingosine,In RP
ASAH2B,Sphingosine,In RP
ASAH2C,Sphingosine,In RP
ASAHL,Sphingosine,In RP
KDSR,Sphingosine,In RP
AKR1C4,Steroid,In RP
AKR1D1,Steroid,In RP
CH25H,Steroid,In RP
CYP11A1,Steroid,In RP
CYP11B1,Steroid,In RP
CYP11B2,Steroid,In RP
CYP17A1,Steroid,In RP
CYP19A1,Steroid,In RP
CYP1A1,Steroid,In RP
CYP1A2,Steroid,In RP
CYP1B1,Steroid,In RP
CYP21A2,Steroid,In RP
CYP27C1,Steroid,In RP
CYP2A13,Steroid,In RP
CYP2A6,Steroid,In RP
CYP2A7,Steroid,In RP
CYP2B6,Steroid,In RP
CYP2C18,Steroid,In RP
CYP2C19,Steroid,In RP
CYP2C8,Steroid,In RP
CYP2C9,Steroid,In RP
CYP2D6,Steroid,In RP
CYP2E1,Steroid,In RP
CYP2F1,Steroid,In RP
CYP2J2,Steroid,In RP
CYP2R1,Steroid,In RP
CYP2S1,Steroid,In RP
CYP2U1,Steroid,In RP
CYP2W1,Steroid,In RP
CYP39A1,Steroid,In RP
CYP3A4,Steroid,In RP
CYP3A43,Steroid,In RP
CYP3A5,Steroid,In RP
CYP3A7,Steroid,In RP
CYP46A1,Steroid,In RP
GGPS1,Steroid,In RP
HSD11B1,Steroid,In RP
HSD11B1L,Steroid,In RP
HSD11B2,Steroid,In RP
HSD17B1,Steroid,In RP
HSD17B10,Steroid,In RP
HSD17B11,Steroid,In RP
HSD17B12,Steroid,In RP
HSD17B13,Steroid,In RP
HSD17B14,Steroid,In RP
HSD17B2,Steroid,In RP
HSD17B3,Steroid,In RP
HSD17B4,Steroid,In RP
HSD17B6,Steroid,In RP
HSD17B8,Steroid,In RP
HSD3B1,Steroid,In RP
HSD3B2,Steroid,In RP
HSDL1,Steroid,In RP
HSDL2,Steroid,In RP
KL,Steroid,In RP
KLB,Steroid,In RP
LIPA,Steroid,In RP
LIPE,Steroid,In RP
SOAT1,Steroid,In RP
SOAT2,Steroid,In RP
SRD5A1,Steroid,In RP
SRD5A2,Steroid,In RP
SRD5A2L2,Steroid,In RP
SRD5A3,Steroid,In RP
AGK,Sugar,In RP
AGL,Sugar,In RP
AMY1A,Sugar,In RP
AMY1B,Sugar,In RP
AMY1C,Sugar,In RP
AMY2A,Sugar,In RP
AMY2B,Sugar,In RP
C9ORF103,Sugar,In RP
CRYL1,Sugar,In RP
FPGT,Sugar,In RP
FUK,Sugar,In RP
GAA,Sugar,In RP
GALK1,Sugar,In RP
GALK2,Sugar,In RP
GALM,Sugar,In RP
GALT,Sugar,In RP
GFOD1,Sugar,In RP
GFOD2,Sugar,In RP
GLYCTK,Sugar,In RP
GMDS,Sugar,In RP
GMPPA,Sugar,In RP
GMPPB,Sugar,In RP
GRHPR,Sugar,In RP
H6PD,Sugar,In RP
HYI,Sugar,In RP
KHK,Sugar,In RP
LALBA,Sugar,In RP
LCT,Sugar,In RP
LCTL,Sugar,In RP
MGAM,Sugar,In RP
MPI,Sugar,In RP
PMM1,Sugar,In RP
PMM2,Sugar,In RP
PYGB,Sugar,In RP
PYGL,Sugar,In RP
PYGM,Sugar,In RP
RBKS,Sugar,In RP
SI,Sugar,In RP
SIAE,Sugar,In RP
SORD,Sugar,In RP
TREH,Sugar,In RP
TSTA3,Sugar,In RP
DSE,Sulfate,In RP
DSEL,Sulfate,In RP
GALNAC4S-6ST,Sulfate,In RP
MPST,Sulfate,In RP
PAPSS1,Sulfate,In RP
PAPSS2,Sulfate,In RP
SRXN1,Sulfate,In RP
STS,Sulfate,In RP
SULT1A1,Sulfate,In RP
SULT1A2,Sulfate,In RP
SULT1A3,Sulfate,In RP
SULT1A4,Sulfate,In RP
SULT1B1,Sulfate,In RP
SULT1C2,Sulfate,In RP
SULT1C3,Sulfate,In RP
SULT1C4,Sulfate,In RP
SULT1E1,Sulfate,In RP
SULT2A1,Sulfate,In RP
SULT2B1,Sulfate,In RP
SULT4A1,Sulfate,In RP
SULT6B1,Sulfate,In RP
TST,Sulfate,In RP
ACMSD,Tryptophan,In RP
AFMID,Tryptophan,In RP
HAAO,Tryptophan,In RP
IDO1,Tryptophan,In RP
IDO2,Tryptophan,In RP
INMT,Tryptophan,In RP
KMO,Tryptophan,In RP
KYNU,Tryptophan,In RP
TDO2,Tryptophan,In RP
FAH,Tyrosine,In RP
FAHD1,Tyrosine,In RP
FAHD2A,Tyrosine,In RP
FAHD2B,Tyrosine,In RP
HGD,Tyrosine,In RP
HPD,Tyrosine,In RP
HPDL,Tyrosine,In RP
PAH,Tyrosine,In RP
TAT,Tyrosine,In RP
CABC1,Ubiquinone,In RP
COQ10A,Ubiquinone,In RP
COQ10B,Ubiquinone,In RP
COQ2,Ubiquinone,In RP
COQ3,Ubiquinone,In RP
COQ4,Ubiquinone,In RP
COQ5,Ubiquinone,In RP
COQ6,Ubiquinone,In RP
COQ7,Ubiquinone,In RP
COQ9,Ubiquinone,In RP
PDSS1,Ubiquinone,In RP
PDSS2,Ubiquinone,In RP
SQRDL,Ubiquinone,In RP
AGMAT,Urea,In RP
ARG1,Urea,In RP
ARG2,Urea,In RP
ASL,Urea,In RP
ASS1,Urea,In RP
CPS1,Urea,In RP
OTC,Urea,In RP
BCMO1,Vitamin A,In RP
BCO2,Vitamin A,In RP
CYP26A1,Vitamin A,In RP
CYP26B1,Vitamin A,In RP
CYP26C1,Vitamin A,In RP
LRAT,Vitamin A,In RP
RDH10,Vitamin A,In RP
RDH11,Vitamin A,In RP
RDH12,Vitamin A,In RP
RDH13,Vitamin A,In RP
RDH14,Vitamin A,In RP
RDH16,Vitamin A,In RP
RDH5,Vitamin A,In RP
RDH8,Vitamin A,In RP
RETSAT,Vitamin A,In RP
RPE65,Vitamin A,In RP
SDR16C5,Vitamin A,In RP
PDXK,Vitamin B6,In RP
PDXP,Vitamin B6,In RP
PHOSPHO2,Vitamin B6,In RP
PNPO,Vitamin B6,In RP
DCXR,Xyulose,In RP
XYLB,Xyulose,In RP
AOC1,Multipurpose,"Missing from RP, in JL"
CTPS1,Pyrimidine,"Missing from RP, in JL"
ECI1,Fatty Acid,"Missing from RP, in JL"
DLST,Krebs,"Missing from RP, in JL"
PNP,Purine,"Missing from RP, in JL"
RARS,Other,"Missing from RP, in JL"
MSMO1,Cholesterol,"Missing from RP, in JL"
SC5D,Cholesterol,"Missing from RP, in JL"
MOGS,Glycan,"Missing from RP, in JL"
TECR,Fatty Acid,"Missing from RP, in JL"
ECI2,Fatty Acid,"Missing from RP, in JL"
CERS1,Sphingolipid,"Missing from RP, in JL"
B4GAT1,Glycan,"Missing from RP, in JL"
COLGALT2,Glycan,"Missing from RP, in JL"
KCNE5,Ion Transport,"Missing from RP, in JL"
NAAA,Sphingosine,"Missing from RP, in JL"
HPGDS,Hormone,"Missing from RP, in JL"
CERS2,Sphingolipid,"Missing from RP, in JL"
PSAT1,Serine,"Missing from RP, in JL"
NAA20,Multipurpose,"Missing from RP, in JL"
NT5C3A,Nucleotide,"Missing from RP, in JL"
CHST15,Sulfate,"Missing from RP, in JL"
MSRB1,Methionine,"Missing from RP, in JL"
UGGT2,Sphingolipid,"Missing from RP, in JL"
UGGT1,Sphingolipid,"Missing from RP, in JL"
RARS2,Other,"Missing from RP, in JL"
GALNT16,Glycan,"Missing from RP, in JL"
NCEH1,Detox,"Missing from RP, in JL"
NAA35,Multipurpose,"Missing from RP, in JL"
SLC17A9,Ion Transport,"Missing from RP, in JL"
ENGASE,Glycan Degradation,"Missing from RP, in JL"
ETNPPL,Amino Acid,"Missing from RP, in JL"
CERS4,Sphingolipid,"Missing from RP, in JL"
COLGALT1,Glycan,"Missing from RP, in JL"
NAA40,Multipurpose,"Missing from RP, in JL"
EPHX3,Multipurpose,"Missing from RP, in JL"
NAA60,Multipurpose,"Missing from RP, in JL"
LPPR3,Membrane Lipid,"Missing from RP, in JL"
SLC8B1,Ion Transport,"Missing from RP, in JL"
NAA50,Multipurpose,"Missing from RP, in JL"
AKR1E2,Multipurpose,"Missing from RP, in JL"
MFSD2A,Other Transport,"Missing from RP, in JL"
PHYKPL,Amino Acid,"Missing from RP, in JL"
CERS5,Sphingolipid,"Missing from RP, in JL"
SLC25A51,Other Transport,"Missing from RP, in JL"
NAPRT,NAD,"Missing from RP, in JL"
AZIN2,Amino Acid,"Missing from RP, in JL"
NT5C3B,Nucleotide,"Missing from RP, in JL"
SLC18B1,Ion Transport,"Missing from RP, in JL"
GALNT15,Glycan,"Missing from RP, in JL"
NAA30,Multipurpose,"Missing from RP, in JL"
SLC51B,Other Transport,"Missing from RP, in JL"
HYKK,Other,"Missing from RP, in JL"
SLC25A52,Other Transport,"Missing from RP, in JL"
AWAT1,Fatty Acid,"Missing from RP, in JL"
AWAT2,Fatty Acid,"Missing from RP, in JL"
LPPR5,Membrane Lipid,"Missing from RP, in JL"
SLC51A,Other Transport,"Missing from RP, in JL"
CERS3,Sphingolipid,"Missing from RP, in JL"
CYB561A3,Redox,"Missing from RP, in JL"
CES5A,Detox,"Missing from RP, in JL"
NAPEPLD,Membrane Lipid,"Missing from RP, in JL"
TECRL,Steroid,"Missing from RP, in JL"
EPHX4,Multipurpose,"Missing from RP, in JL"
LCLAT1,Glycan,"Missing from RP, in JL"
CERS6,Sphingolipid,"Missing from RP, in JL"
GXYLT1,Glycan,"Missing from RP, in JL"
SLC25A47,Ion Transport,"Missing from RP, in JL"
SLC9C2,Small Molecule Transport,"Missing from RP, in JL"
SLC9C1,Small Molecule Transport,"Missing from RP, in JL"
SLCO1B7,Ion Transport,"Missing from RP, in JL"
GALNT18,Glycan,"Missing from RP, in JL"
SLC22A25,Ion Transport,"Missing from RP, in JL"
SLC25A53,Other Transport,"Missing from RP, in JL"
AKR1B15,Multipurpose,"Missing from RP, in JL"
GXYLT2,Glycan,"Missing from RP, in JL"
BLMH,Other,"Missing from RP, in JL"
PAFAH2,Other,"Missing from RP, in JL"
RARRES3,Other,"Missing from RP, in JL"
ACAP1,Other,"Missing from RP, in JL"
UQCR11,Complex III,"Missing from RP, in JL"
AGTPBP1,Other,"Missing from RP, in JL"
LGALS13,Other,"Missing from RP, in JL"
UQCR10,Complex III,"Missing from RP, in JL"
AZIN1,Other,"Missing from RP, in JL"
BCO1,Vitamin A,"Missing from RP, in JL"
2-Mar,Other,"Missing from RP, in JL"
ACOT13,Other,"Missing from RP, in JL"
SDHAF3,Other,"Missing from RP, in JL"
AGBL5,Other,"Missing from RP, in JL"
1-Mar,Other,"Missing from RP, in JL"
AGBL2,Other,"Missing from RP, in JL"
AGBL4,Other,"Missing from RP, in JL"
AGBL1,Other,"Missing from RP, in JL"
PROCA1,Other,"Missing from RP, in JL"
AGBL3,Other,"Missing from RP, in JL"
OC90,Other,"Missing from RP, in JL"
SCO2,Complex II,"Missing from RP+JL, in KB"
PKM,Glycolysis,"Missing from RP+JL, in KB"
NRF1,Metabolite sensing,"Missing from RP+JL, in KB"
PLIN5,Lipid droplet,"Missing from RP+JL, in KB"
APOH,Lipoproteins,"Missing from RP+JL, in KB"
BCS1L,Complex III,"Missing from RP+JL, in KB"
SCAP,Metabolism linked transcription factors,"Missing from RP+JL, in KB"
MLXIP,Metabolism linked transcription factors,"Missing from RP+JL, in KB"
GPIHBP1,Lipoproteins,"Missing from RP+JL, in KB"
GCKR,Glycolysis,"Missing from RP+JL, in KB"
ALKBH1,aKG dependent enzymes,"Missing from RP+JL, in KB"
IL6,,"Missing from RP+JL, in KB"
ARNT2,Metabolism linked transcription factors,"Missing from RP+JL, in KB"
ALKBH2,aKG dependent enzymes,"Missing from RP+JL, in KB"
SIRT7,Sirtuin,"Missing from RP+JL, in KB"
LEPREL2,aKG dependent enzymes,"Missing from RP+JL, in KB"
PDK1,Metabolic enzyme modifying protein,"Missing from RP+JL, in KB"
NR1H3,Metabolism linked transcription factors,"Missing from RP+JL, in KB"
SERPINA1,,"Missing from RP+JL, in KB"
PMP2,Metabolite sensing,"Missing from RP+JL, in KB"
P4HA2,aKG dependent enzymes,"Missing from RP+JL, in KB"
PGP,Glycolysis,"Missing from RP+JL, in KB"
40237,,"Missing from RP+JL, in KB"
SIRT5,Sirtuin,"Missing from RP+JL, in KB"
ASIC2,Ion Transport,"Missing from RP+JL, in KB"
FADS6,Membrane Lipid,"Missing from RP+JL, in KB"
QSOX2,Redox,"Missing from RP+JL, in KB"
CNEP1R1,Fatty Acid,"Missing from RP+JL, in KB"
PDXDC1,Other,"Missing from RP+JL, in KB"
MSR1,Lipoproteins,"Missing from RP+JL, in KB"
ATPIF1,ATPase,"Missing from RP+JL, in KB"
PPIP5K1,Inositol Phosphate,"Missing from RP+JL, in KB"
KDM2B,aKG dependent enzymes,"Missing from RP+JL, in KB"
AIFM2,Redox,"Missing from RP+JL, in KB"
APOA4,Lipoproteins,"Missing from RP+JL, in KB"
LOXL2,Lysine,"Missing from RP+JL, in KB"
LEPREL1,aKG dependent enzymes,"Missing from RP+JL, in KB"
GLYR1,Redox,"Missing from RP+JL, in KB"
HIF3A,Metabolism linked transcription factors,"Missing from RP+JL, in KB"
KDM5A,aKG dependent enzymes,"Missing from RP+JL, in KB"
DOHH,Lysine,"Missing from RP+JL, in KB"
CRP,Metabolite sensing,"Missing from RP+JL, in KB"
NXNL2,Redox,"Missing from RP+JL, in KB"
CD36,Small Molecule Transport,"Missing from RP+JL, in KB"
EHD1,,"Missing from RP+JL, in KB"
SIRT6,Sirtuin,"Missing from RP+JL, in KB"
AIFM1,Redox,"Missing from RP+JL, in KB"
CHKB,Membrane Lipid,"Missing from RP+JL, in KB"
CTBP1,Other,"Missing from RP+JL, in KB"
RNLS,Other,"Missing from RP+JL, in KB"
ASIC1,Ion Transport,"Missing from RP+JL, in KB"
ACVR1C,TGFb,"Missing from RP+JL, in KB"
VAMP7,Lysosome,"Missing from RP+JL, in KB"
KDM4D,aKG dependent enzymes,"Missing from RP+JL, in KB"
EDN1,,"Missing from RP+JL, in KB"
NAMPT,NAD,"Missing from RP+JL, in KB"
KDM3A,aKG dependent enzymes,"Missing from RP+JL, in KB"
PRG3,,"Missing from RP+JL, in KB"
STAT5B,Metabolism linked transcription factors,"Missing from RP+JL, in KB"
MYC,Metabolism linked transcription factors,"Missing from RP+JL, in KB"
TET1,aKG dependent enzymes,"Missing from RP+JL, in KB"
P4HA1,aKG dependent enzymes,"Missing from RP+JL, in KB"
LHPP,Other,"Missing from RP+JL, in KB"
PXDNL,,"Missing from RP+JL, in KB"
GFER,Redox,"Missing from RP+JL, in KB"
KDM6B,aKG dependent enzymes,"Missing from RP+JL, in KB"
HILPDA,Lipid droplet,"Missing from RP+JL, in KB"
KDM4E,aKG dependent enzymes,"Missing from RP+JL, in KB"
DUS4L,Other,"Missing from RP+JL, in KB"
TET3,aKG dependent enzymes,"Missing from RP+JL, in KB"
MPC1,Small Molecule Transport,"Missing from RP+JL, in KB"
RSAD1,Porphyrin,"Missing from RP+JL, in KB"
FTO,aKG dependent enzymes,"Missing from RP+JL, in KB"
C19orf80,Fatty Acid,"Missing from RP+JL, in KB"
LOXL4,Lysine,"Missing from RP+JL, in KB"
LDLR,Lipoproteins,"Missing from RP+JL, in KB"
PLOD3,aKG dependent enzymes,"Missing from RP+JL, in KB"
PTGFRN,Other,"Missing from RP+JL, in KB"
ASIC5,Ion Transport,"Missing from RP+JL, in KB"
APOO,Lipoproteins,"Missing from RP+JL, in KB"
SNCA,Mitochondrial morphology and function,"Missing from RP+JL, in KB"
INSIG1,Metabolism linked transcription factors,"Missing from RP+JL, in KB"
INSIG2,Metabolism linked transcription factors,"Missing from RP+JL, in KB"
TNF,,"Missing from RP+JL, in KB"
TET2,aKG dependent enzymes,"Missing from RP+JL, in KB"
CIDEC,,"Missing from RP+JL, in KB"
APOC3,Lipoproteins,"Missing from RP+JL, in KB"
LOXL3,Lysine,"Missing from RP+JL, in KB"
ITGB3,Small Molecule Transport,"Missing from RP+JL, in KB"
SPG20,Mitochondrial morphology and function,"Missing from RP+JL, in KB"
MPC2,Small Molecule Transport,"Missing from RP+JL, in KB"
KDM3B,aKG dependent enzymes,"Missing from RP+JL, in KB"
SIRT4,Sirtuin,"Missing from RP+JL, in KB"
VAT1,Small Molecule Transport,"Missing from RP+JL, in KB"
AK4,Nucleotide,"Missing from RP+JL, in KB"
APOA1,Lipoproteins,"Missing from RP+JL, in KB"
KDM5D,aKG dependent enzymes,"Missing from RP+JL, in KB"
IRG1,Itaconate,"Missing from RP+JL, in KB"
THRSP,Fatty Acid,"Missing from RP+JL, in KB"
ADIPOQ,Fatty Acid,"Missing from RP+JL, in KB"
MIF,Other,"Missing from RP+JL, in KB"
P4HA3,aKG dependent enzymes,"Missing from RP+JL, in KB"
APOC1,Lipoproteins,"Missing from RP+JL, in KB"
APOM,Lipoproteins,"Missing from RP+JL, in KB"
COQ8A,Ubiquinone,"Missing from RP+JL, in KB"
SIRT1,Sirtuin,"Missing from RP+JL, in KB"
SCARB1,Lipoproteins,"Missing from RP+JL, in KB"
APOE,Lipoproteins,"Missing from RP+JL, in KB"
LSR,Lipoproteins,"Missing from RP+JL, in KB"
KEAP1,Metabolism linked transcription factors,"Missing from RP+JL, in KB"
ARNT,Metabolism linked transcription factors,"Missing from RP+JL, in KB"
IDNK,Other,"Missing from RP+JL, in KB"
MTF1,Metabolite sensing,"Missing from RP+JL, in KB"
NR1H2,Metabolism linked transcription factors,"Missing from RP+JL, in KB"
FOXO1,Metabolism linked transcription factors,"Missing from RP+JL, in KB"
KDM8,aKG dependent enzymes,"Missing from RP+JL, in KB"
KDM5C,aKG dependent enzymes,"Missing from RP+JL, in KB"
ANKRD23,Metabolism linked transcription factors,"Missing from RP+JL, in KB"
ANGPTL4,Signalling,"Missing from RP+JL, in KB"
PLOD1,aKG dependent enzymes,"Missing from RP+JL, in KB"
APOF,Lipoproteins,"Missing from RP+JL, in KB"
TXNIP,Small Molecule Transport,"Missing from RP+JL, in KB"
KDM2A,aKG dependent enzymes,"Missing from RP+JL, in KB"
APOBR,Lipoproteins,"Missing from RP+JL, in KB"
ASPDH,Other,"Missing from RP+JL, in KB"
LMF1,Lipoproteins,"Missing from RP+JL, in KB"
HNF4A,Lipoproteins,"Missing from RP+JL, in KB"
NXN,Redox,"Missing from RP+JL, in KB"
MOXD1,Redox,"Missing from RP+JL, in KB"
FAM213B,Signalling,"Missing from RP+JL, in KB"
GIP,Hormone,"Missing from RP+JL, in KB"
APOL1,Lipoproteins,"Missing from RP+JL, in KB"
DBI,Metabolite sensing,"Missing from RP+JL, in KB"
HIF1AN,Metabolism linked transcription factors,"Missing from RP+JL, in KB"
UTY,aKG dependent enzymes,"Missing from RP+JL, in KB"
PLIN1,Lipid droplet,"Missing from RP+JL, in KB"
LOXL1,Lysine,"Missing from RP+JL, in KB"
STAT5A,Metabolism linked transcription factors,"Missing from RP+JL, in KB"
CKMT1A,Creatine,"Missing from RP+JL, in KB"
MINA,aKG dependent enzymes,"Missing from RP+JL, in KB"
JMJD6,aKG dependent enzymes,"Missing from RP+JL, in KB"
AIFM3,Redox,"Missing from RP+JL, in KB"
CAV3,Membrane Lipid,"Missing from RP+JL, in KB"
EDN2,Hormone,"Missing from RP+JL, in KB"
IL4I1,Amino Acid,"Missing from RP+JL, in KB"
P4HTM,aKG dependent enzymes,"Missing from RP+JL, in KB"
APOA5,Lipoproteins,"Missing from RP+JL, in KB"
KDM4C,aKG dependent enzymes,"Missing from RP+JL, in KB"
AGMO,Membrane Lipid,"Missing from RP+JL, in KB"
APOA2,Lipoproteins,"Missing from RP+JL, in KB"
FABP4,Small Molecule Transport,"Missing from RP+JL, in KB"
CIDEA,,"Missing from RP+JL, in KB"
ALMS1,Cilia,"Missing from RP+JL, in KB"
ULK1,Autophagy,"Missing from RP+JL, in KB"
IL1B,,"Missing from RP+JL, in KB"
KDM1A,aKG dependent enzymes,"Missing from RP+JL, in KB"
LEP,Hormone,"Missing from RP+JL, in KB"
KDM4A,aKG dependent enzymes,"Missing from RP+JL, in KB"
EGLN1,aKG dependent enzymes,"Missing from RP+JL, in KB"
FCER1A,,"Missing from RP+JL, in KB"
CIDEB,,"Missing from RP+JL, in KB"
PHF2,aKG dependent enzymes,"Missing from RP+JL, in KB"
PLIN2,Lipid droplet,"Missing from RP+JL, in KB"
PDK2,Metabolic enzyme modifying protein,"Missing from RP+JL, in KB"
TYW5,Other,"Missing from RP+JL, in KB"
MLXIPL,Metabolism linked transcription factors,"Missing from RP+JL, in KB"
HOGA1,Proline,"Missing from RP+JL, in KB"
FTH1,Metals,"Missing from RP+JL, in KB"
APOC2,Lipoproteins,"Missing from RP+JL, in KB"
PHF8,aKG dependent enzymes,"Missing from RP+JL, in KB"
FABP1,Small Molecule Transport,"Missing from RP+JL, in KB"
PPIP5K2,Inositol Phosphate,"Missing from RP+JL, in KB"
FTMT,Metals,"Missing from RP+JL, in KB"
ZC3H12A,,"Missing from RP+JL, in KB"
PLP1,Membrane Lipid,"Missing from RP+JL, in KB"
ANGPTL3,Signalling,"Missing from RP+JL, in KB"
HTATIP2,Redox,"Missing from RP+JL, in KB"
QSOX1,Redox,"Missing from RP+JL, in KB"
SREBF2,Metabolism linked transcription factors,"Missing from RP+JL, in KB"
RAB18,,"Missing from RP+JL, in KB"
FABP7,Small Molecule Transport,"Missing from RP+JL, in KB"
C1QTNF3,,"Missing from RP+JL, in KB"
NMRK1,NAD,"Missing from RP+JL, in KB"
BSCL2,Lipid droplet,"Missing from RP+JL, in KB"
FABP3,Small Molecule Transport,"Missing from RP+JL, in KB"
C3,Hormone,"Missing from RP+JL, in KB"
FITM1,Lipid droplet,"Missing from RP+JL, in KB"
ADIPOR2,Hormone,"Missing from RP+JL, in KB"
KDM1B,aKG dependent enzymes,"Missing from RP+JL, in KB"
EGLN3,aKG dependent enzymes,"Missing from RP+JL, in KB"
SIRT3,Sirtuin,"Missing from RP+JL, in KB"
PLIN3,Lipid droplet,"Missing from RP+JL, in KB"
FABP12,Small Molecule Transport,"Missing from RP+JL, in KB"
ADIPOR1,Hormone,"Missing from RP+JL, in KB"
PIKFYVE,Membrane Lipid,"Missing from RP+JL, in KB"
OSBPL8,Membrane Lipid,"Missing from RP+JL, in KB"
PPARG,Metabolism linked transcription factors,"Missing from RP+JL, in KB"
40238,,"Missing from RP+JL, in KB"
ASPH,Other,"Missing from RP+JL, in KB"
PLOD2,aKG dependent enzymes,"Missing from RP+JL, in KB"
APOB,Lipoproteins,"Missing from RP+JL, in KB"
PDK4,Metabolic enzyme modifying protein,"Missing from RP+JL, in KB"
NKX2-3,Metabolism linked transcription factors,"Missing from RP+JL, in KB"
C14orf169,aKG dependent enzymes,"Missing from RP+JL, in KB"
ASIC4,Ion Transport,"Missing from RP+JL, in KB"
ASIC3,Ion Transport,"Missing from RP+JL, in KB"
NFKB1,Metabolism linked transcription factors,"Missing from RP+JL, in KB"
TXNDC12,Redox,"Missing from RP+JL, in KB"
FITM2,Lipid droplet,"Missing from RP+JL, in KB"
